Dataset | March Current Population Survey | Cross-sectional representative sample of more than 50,000 U.S. civilian households containing detailed questions about household composition and sources of income. | [('Cross-sectional', 'JJ'), ('representative', 'JJ'), ('sample', 'NN'), ('of', 'IN'), ('more', 'JJR'), ('than', 'IN'), ('50,000', 'CD'), ('U.S.', 'NNP'), ('civilian', 'JJ'), ('households', 'NNS'), ('containing', 'VBG'), ('detailed', 'JJ'), ('questions', 'NNS'), ('about', 'IN'), ('household', 'NN'), ('composition', 'NN'), ('and', 'CC'), ('sources', 'NNS'), ('of', 'IN'), ('income', 'NN'), ('.', '.')]
Dataset | Census | …weekly wage data are obtained from the 1970 to 2000 decennial censuses. | [('…weekly', 'JJ'), ('wage', 'NN'), ('data', 'NNS'), ('are', 'VBP'), ('obtained', 'VBN'), ('from', 'IN'), ('the', 'DT'), ('1970', 'CD'), ('to', 'TO'), ('2000', 'CD'), ('decennial', 'JJ'), ('censuses', 'NNS'), ('.', '.')]
Dataset | Current Population Survey | …a combination of the 1995-1997 CPSs and the 2001-2003 CPSs are used to produce weekly wage estimates for 1996 and 2002. | [('…a', 'JJ'), ('combination', 'NN'), ('of', 'IN'), ('the', 'DT'), ('1995-1997', 'JJ'), ('CPSs', 'NNP'), ('and', 'CC'), ('the', 'DT'), ('2001-2003', 'JJ'), ('CPSs', 'NNP'), ('are', 'VBP'), ('used', 'VBN'), ('to', 'TO'), ('produce', 'VB'), ('weekly', 'JJ'), ('wage', 'NN'), ('estimates', 'NNS'), ('for', 'IN'), ('1996', 'CD'), ('and', 'CC'), ('2002', 'CD'), ('.', '.')]
Dataset | Census | …the census contains all open-ended upper income intervals. The means of these top codes were calculated assuming that the upper part of the income distribution followed an exponential distribution, and the following values were assigned: 1940($5,000) = $8,900; 1950 ($10,000) = $22,500; 1960 ($25,000) = $42,500; 1970 ($50,000) = $80,000; 1980 ($75,000) = $115,000; 1990 ($140,000) = $195,000. | [('…the', 'JJ'), ('census', 'NN'), ('contains', 'VBZ'), ('all', 'DT'), ('open-ended', 'JJ'), ('upper', 'JJ'), ('income', 'NN'), ('intervals', 'NNS'), ('.', '.'), ('The', 'DT'), ('means', 'NNS'), ('of', 'IN'), ('these', 'DT'), ('top', 'JJ'), ('codes', 'NNS'), ('were', 'VBD'), ('calculated', 'VBN'), ('assuming', 'VBG'), ('that', 'IN'), ('the', 'DT'), ('upper', 'JJ'), ('part', 'NN'), ('of', 'IN'), ('the', 'DT'), ('income', 'NN'), ('distribution', 'NN'), ('followed', 'VBD'), ('an', 'DT'), ('exponential', 'JJ'), ('distribution', 'NN'), (',', ','), ('and', 'CC'), ('the', 'DT'), ('following', 'JJ'), ('values', 'NNS'), ('were', 'VBD'), ('assigned', 'VBN'), (':', ':'), ('1940', 'CD'), ('(', '('), ('$', '$'), ('5,000', 'CD'), (')', ')'), ('=', 'VBD'), ('$', '$'), ('8,900', 'CD'), (';', ':'), ('1950', 'CD'), ('(', '('), ('$', '$'), ('10,000', 'CD'), (')', ')'), ('=', 'VBD'), ('$', '$'), ('22,500', 'CD'), (';', ':'), ('1960', 'CD'), ('(', '('), ('$', '$'), ('25,000', 'CD'), (')', ')'), ('=', 'VBD'), ('$', '$'), ('42,500', 'CD'), (';', ':'), ('1970', 'CD'), ('(', '('), ('$', '$'), ('50,000', 'CD'), (')', ')'), ('=', 'VBD'), ('$', '$'), ('80,000', 'CD'), (';', ':'), ('1980', 'CD'), ('(', '('), ('$', '$'), ('75,000', 'CD'), (')', ')'), ('=', 'VBD'), ('$', '$'), ('115,000', 'CD'), (';', ':'), ('1990', 'CD'), ('(', '('), ('$', '$'), ('140,000', 'CD'), (')', ')'), ('=', 'VBD'), ('$', '$'), ('195,000', 'CD'), ('.', '.')]
Dataset | Current Population Survey | …the CPS contains all open-ended upper income intervals. The means of these top codes were calculated assuming that the upper part of the income distribution followed an exponential distribution, and the following values were assigned: 1940($5,000) = $8,900; 1950 ($10,000) = $22,500; 1960 ($25,000) = $42,500; 1970 ($50,000) = $80,000; 1980 ($75,000) = $115,000; 1990 ($140,000) = $195,000. | [('…the', 'JJ'), ('CPS', 'NNP'), ('contains', 'VBZ'), ('all', 'DT'), ('open-ended', 'JJ'), ('upper', 'JJ'), ('income', 'NN'), ('intervals', 'NNS'), ('.', '.'), ('The', 'DT'), ('means', 'NNS'), ('of', 'IN'), ('these', 'DT'), ('top', 'JJ'), ('codes', 'NNS'), ('were', 'VBD'), ('calculated', 'VBN'), ('assuming', 'VBG'), ('that', 'IN'), ('the', 'DT'), ('upper', 'JJ'), ('part', 'NN'), ('of', 'IN'), ('the', 'DT'), ('income', 'NN'), ('distribution', 'NN'), ('followed', 'VBD'), ('an', 'DT'), ('exponential', 'JJ'), ('distribution', 'NN'), (',', ','), ('and', 'CC'), ('the', 'DT'), ('following', 'JJ'), ('values', 'NNS'), ('were', 'VBD'), ('assigned', 'VBN'), (':', ':'), ('1940', 'CD'), ('(', '('), ('$', '$'), ('5,000', 'CD'), (')', ')'), ('=', 'VBD'), ('$', '$'), ('8,900', 'CD'), (';', ':'), ('1950', 'CD'), ('(', '('), ('$', '$'), ('10,000', 'CD'), (')', ')'), ('=', 'VBD'), ('$', '$'), ('22,500', 'CD'), (';', ':'), ('1960', 'CD'), ('(', '('), ('$', '$'), ('25,000', 'CD'), (')', ')'), ('=', 'VBD'), ('$', '$'), ('42,500', 'CD'), (';', ':'), ('1970', 'CD'), ('(', '('), ('$', '$'), ('50,000', 'CD'), (')', ')'), ('=', 'VBD'), ('$', '$'), ('80,000', 'CD'), (';', ':'), ('1980', 'CD'), ('(', '('), ('$', '$'), ('75,000', 'CD'), (')', ')'), ('=', 'VBD'), ('$', '$'), ('115,000', 'CD'), (';', ':'), ('1990', 'CD'), ('(', '('), ('$', '$'), ('140,000', 'CD'), (')', ')'), ('=', 'VBD'), ('$', '$'), ('195,000', 'CD'), ('.', '.')]
Dataset | Current Population Survey | …in the 2000 census, respondents with wage and salary income equal to $175,000 and above were assigned the state mean for their state of residence based on all people in that state with wage and salary income equal to $175,000 and above. | [('…in', 'IN'), ('the', 'DT'), ('2000', 'CD'), ('census', 'NN'), (',', ','), ('respondents', 'NNS'), ('with', 'IN'), ('wage', 'NN'), ('and', 'CC'), ('salary', 'JJ'), ('income', 'NN'), ('equal', 'JJ'), ('to', 'TO'), ('$', '$'), ('175,000', 'CD'), ('and', 'CC'), ('above', 'VB'), ('were', 'VBD'), ('assigned', 'VBN'), ('the', 'DT'), ('state', 'NN'), ('mean', 'NN'), ('for', 'IN'), ('their', 'PRP$'), ('state', 'NN'), ('of', 'IN'), ('residence', 'NN'), ('based', 'VBN'), ('on', 'IN'), ('all', 'DT'), ('people', 'NNS'), ('in', 'IN'), ('that', 'DT'), ('state', 'NN'), ('with', 'IN'), ('wage', 'NN'), ('and', 'CC'), ('salary', 'JJ'), ('income', 'NN'), ('equal', 'JJ'), ('to', 'TO'), ('$', '$'), ('175,000', 'CD'), ('and', 'CC'), ('above', 'RB'), ('.', '.')]
Dataset | Census | …weeks worked were coded into broad intervals in the 1960 and 1970 censuses. The following within-interval means, derived from the 1980 census, were assigned: 1 to 13 = 6.5; 14 to 26 = 21.73; 27 to 29 = 33.08; 40 to 47 = 42.67; 48 to 49 = 48.29; and 50 to 52 = 51.82. in other census years, the author used these intervals or the continuous value of weeks worked, and the results were basically identical. In light of this, the author chooses to use the continuous weeks measure in the CPS files. | [('…weeks', 'NNS'), ('worked', 'VBN'), ('were', 'VBD'), ('coded', 'VBN'), ('into', 'IN'), ('broad', 'JJ'), ('intervals', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('1960', 'CD'), ('and', 'CC'), ('1970', 'CD'), ('censuses', 'NNS'), ('.', '.'), ('The', 'DT'), ('following', 'JJ'), ('within-interval', 'JJ'), ('means', 'NNS'), (',', ','), ('derived', 'VBN'), ('from', 'IN'), ('the', 'DT'), ('1980', 'CD'), ('census', 'NN'), (',', ','), ('were', 'VBD'), ('assigned', 'VBN'), (':', ':'), ('1', 'CD'), ('to', 'TO'), ('13', 'CD'), ('=', 'NNS'), ('6.5', 'CD'), (';', ':'), ('14', 'CD'), ('to', 'TO'), ('26', 'CD'), ('=', 'NNS'), ('21.73', 'CD'), (';', ':'), ('27', 'CD'), ('to', 'TO'), ('29', 'CD'), ('=', 'NNS'), ('33.08', 'CD'), (';', ':'), ('40', 'CD'), ('to', 'TO'), ('47', 'CD'), ('=', 'NNS'), ('42.67', 'CD'), (';', ':'), ('48', 'CD'), ('to', 'TO'), ('49', 'CD'), ('=', 'NNS'), ('48.29', 'CD'), (';', ':'), ('and', 'CC'), ('50', 'CD'), ('to', 'TO'), ('52', 'CD'), ('=', 'NNS'), ('51.82.', 'CD'), ('in', 'IN'), ('other', 'JJ'), ('census', 'NN'), ('years', 'NNS'), (',', ','), ('the', 'DT'), ('author', 'NN'), ('used', 'VBN'), ('these', 'DT'), ('intervals', 'NNS'), ('or', 'CC'), ('the', 'DT'), ('continuous', 'JJ'), ('value', 'NN'), ('of', 'IN'), ('weeks', 'NNS'), ('worked', 'VBN'), (',', ','), ('and', 'CC'), ('the', 'DT'), ('results', 'NNS'), ('were', 'VBD'), ('basically', 'RB'), ('identical', 'JJ'), ('.', '.'), ('In', 'IN'), ('light', 'NN'), ('of', 'IN'), ('this', 'DT'), (',', ','), ('the', 'DT'), ('author', 'NN'), ('chooses', 'VBZ'), ('to', 'TO'), ('use', 'VB'), ('the', 'DT'), ('continuous', 'JJ'), ('weeks', 'NNS'), ('measure', 'NN'), ('in', 'IN'), ('the', 'DT'), ('CPS', 'NNP'), ('files', 'NNS'), ('.', '.')]
Dataset | Current Population Survey | …all statistics presented in this paper are authors' calculations from Current Population survey outgoing rotation group data unless indicated otherwise. | [('…all', 'JJ'), ('statistics', 'NNS'), ('presented', 'VBN'), ('in', 'IN'), ('this', 'DT'), ('paper', 'NN'), ('are', 'VBP'), ('authors', 'NNS'), ("'", 'POS'), ('calculations', 'NNS'), ('from', 'IN'), ('Current', 'NNP'), ('Population', 'NNP'), ('survey', 'NN'), ('outgoing', 'VBG'), ('rotation', 'NN'), ('group', 'NN'), ('data', 'NNS'), ('unless', 'IN'), ('indicated', 'JJ'), ('otherwise', 'NN'), ('.', '.')]
Dataset | Current Population Survey | …all data used here are from the monthly Current Population Survey (CPS) data. When examining the entire labor force, researchers include all individuals age 16 and older. When examining specific education groups, researchers include only individuals age 25 and older in order to capture completed education levels. Observations are weighted using the composite weights. | [('…all', 'NN'), ('data', 'NNS'), ('used', 'VBN'), ('here', 'RB'), ('are', 'VBP'), ('from', 'IN'), ('the', 'DT'), ('monthly', 'JJ'), ('Current', 'NNP'), ('Population', 'NNP'), ('Survey', 'NNP'), ('(', '('), ('CPS', 'NNP'), (')', ')'), ('data', 'NNS'), ('.', '.'), ('When', 'WRB'), ('examining', 'VBG'), ('the', 'DT'), ('entire', 'JJ'), ('labor', 'NN'), ('force', 'NN'), (',', ','), ('researchers', 'NNS'), ('include', 'VBP'), ('all', 'DT'), ('individuals', 'NNS'), ('age', 'NN'), ('16', 'CD'), ('and', 'CC'), ('older', 'JJR'), ('.', '.'), ('When', 'WRB'), ('examining', 'VBG'), ('specific', 'JJ'), ('education', 'NN'), ('groups', 'NNS'), (',', ','), ('researchers', 'NNS'), ('include', 'VBP'), ('only', 'JJ'), ('individuals', 'NNS'), ('age', 'NN'), ('25', 'CD'), ('and', 'CC'), ('older', 'JJR'), ('in', 'IN'), ('order', 'NN'), ('to', 'TO'), ('capture', 'NN'), ('completed', 'VBN'), ('education', 'NN'), ('levels', 'NNS'), ('.', '.'), ('Observations', 'NNS'), ('are', 'VBP'), ('weighted', 'VBN'), ('using', 'VBG'), ('the', 'DT'), ('composite', 'JJ'), ('weights', 'NNS'), ('.', '.')]
Dataset | Census | …the 1980, 1990, and 2000 Censuses all occurred near business-cycle peaks and so do not provide the needed variation to study business-cycle effects. | [('…the', 'NN'), ('1980', 'CD'), (',', ','), ('1990', 'CD'), (',', ','), ('and', 'CC'), ('2000', 'CD'), ('Censuses', 'NNP'), ('all', 'DT'), ('occurred', 'VBD'), ('near', 'IN'), ('business-cycle', 'NN'), ('peaks', 'NNS'), ('and', 'CC'), ('so', 'RB'), ('do', 'VB'), ('not', 'RB'), ('provide', 'VB'), ('the', 'DT'), ('needed', 'JJ'), ('variation', 'NN'), ('to', 'TO'), ('study', 'VB'), ('business-cycle', 'JJ'), ('effects', 'NNS'), ('.', '.')]
Dataset | Current Population Survey | …composite weights are micro data weights that incorporate composite estimates based on the outgoing rotation groups in the monthly CPS data. | [('…composite', 'JJ'), ('weights', 'NNS'), ('are', 'VBP'), ('micro', 'JJ'), ('data', 'NNS'), ('weights', 'NNS'), ('that', 'WDT'), ('incorporate', 'VBP'), ('composite', 'JJ'), ('estimates', 'NNS'), ('based', 'VBN'), ('on', 'IN'), ('the', 'DT'), ('outgoing', 'JJ'), ('rotation', 'NN'), ('groups', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('monthly', 'JJ'), ('CPS', 'NNP'), ('data', 'NN'), ('.', '.')]
Dataset | Current Population Survey | …seasonally adjusted quarterly data for first quarter 1994 to second quarter 2009. | [('…seasonally', 'RB'), ('adjusted', 'VBN'), ('quarterly', 'RB'), ('data', 'NNS'), ('for', 'IN'), ('first', 'JJ'), ('quarter', 'NN'), ('1994', 'CD'), ('to', 'TO'), ('second', 'JJ'), ('quarter', 'NN'), ('2009', 'CD'), ('.', '.')]
Dataset | Current Population Survey | …the data is decomposed into trend and cyclical components using the Hodrick-Prescott (HP) filter with a smoothing parameter of 1600. Researchers first compare the cyclical components, which are short-run fluctuations around the long-run trend of aggregate immigrant and native labor market outcomes by correlating them with quarterly gross domestic product (GDP) growth. | [('…the', 'NN'), ('data', 'NNS'), ('is', 'VBZ'), ('decomposed', 'VBN'), ('into', 'IN'), ('trend', 'NN'), ('and', 'CC'), ('cyclical', 'JJ'), ('components', 'NNS'), ('using', 'VBG'), ('the', 'DT'), ('Hodrick-Prescott', 'NNP'), ('(', '('), ('HP', 'NNP'), (')', ')'), ('filter', 'NN'), ('with', 'IN'), ('a', 'DT'), ('smoothing', 'VBG'), ('parameter', 'NN'), ('of', 'IN'), ('1600', 'CD'), ('.', '.'), ('Researchers', 'NNS'), ('first', 'RB'), ('compare', 'VBP'), ('the', 'DT'), ('cyclical', 'JJ'), ('components', 'NNS'), (',', ','), ('which', 'WDT'), ('are', 'VBP'), ('short-run', 'JJ'), ('fluctuations', 'NNS'), ('around', 'IN'), ('the', 'DT'), ('long-run', 'JJ'), ('trend', 'NN'), ('of', 'IN'), ('aggregate', 'JJ'), ('immigrant', 'JJ'), ('and', 'CC'), ('native', 'JJ'), ('labor', 'NN'), ('market', 'NN'), ('outcomes', 'NNS'), ('by', 'IN'), ('correlating', 'VBG'), ('them', 'PRP'), ('with', 'IN'), ('quarterly', 'JJ'), ('gross', 'JJ'), ('domestic', 'JJ'), ('product', 'NN'), ('(', '('), ('GDP', 'NNP'), (')', ')'), ('growth', 'NN'), ('.', '.')]
Dataset | Current Population Survey | …the (unweighted) number of observations is 533,582 for immigrants and 4,208,618 for natives age 16 and older in the employment regressions (353,449 and 2,789,414, respectively, in the unemployment regressions). | [('…the', 'NN'), ('(', '('), ('unweighted', 'JJ'), (')', ')'), ('number', 'NN'), ('of', 'IN'), ('observations', 'NNS'), ('is', 'VBZ'), ('533,582', 'CD'), ('for', 'IN'), ('immigrants', 'NNS'), ('and', 'CC'), ('4,208,618', 'CD'), ('for', 'IN'), ('natives', 'NNS'), ('age', 'NN'), ('16', 'CD'), ('and', 'CC'), ('older', 'JJR'), ('in', 'IN'), ('the', 'DT'), ('employment', 'NN'), ('regressions', 'NNS'), ('(', '('), ('353,449', 'CD'), ('and', 'CC'), ('2,789,414', 'CD'), (',', ','), ('respectively', 'RB'), (',', ','), ('in', 'IN'), ('the', 'DT'), ('unemployment', 'NN'), ('regressions', 'NNS'), (')', ')'), ('.', '.')]
Dataset | Current Population Survey | …microdata files used in order to derive a sample including the 10 most immigrant-intensive cities along with a group of 14 other cities selected by a variety of criteria, including stable boundaries, relatively large sample sizes, and a desire for geographic comparability with the high-immigrant cities. | [('…microdata', 'NN'), ('files', 'NNS'), ('used', 'VBN'), ('in', 'IN'), ('order', 'NN'), ('to', 'TO'), ('derive', 'VB'), ('a', 'DT'), ('sample', 'NN'), ('including', 'VBG'), ('the', 'DT'), ('10', 'CD'), ('most', 'RBS'), ('immigrant-intensive', 'JJ'), ('cities', 'NNS'), ('along', 'IN'), ('with', 'IN'), ('a', 'DT'), ('group', 'NN'), ('of', 'IN'), ('14', 'CD'), ('other', 'JJ'), ('cities', 'NNS'), ('selected', 'VBN'), ('by', 'IN'), ('a', 'DT'), ('variety', 'NN'), ('of', 'IN'), ('criteria', 'NNS'), (',', ','), ('including', 'VBG'), ('stable', 'JJ'), ('boundaries', 'NNS'), (',', ','), ('relatively', 'RB'), ('large', 'JJ'), ('sample', 'NN'), ('sizes', 'NNS'), (',', ','), ('and', 'CC'), ('a', 'DT'), ('desire', 'NN'), ('for', 'IN'), ('geographic', 'JJ'), ('comparability', 'NN'), ('with', 'IN'), ('the', 'DT'), ('high-immigrant', 'JJ'), ('cities', 'NNS'), ('.', '.')]
Dataset | Census | ...data from the 1980 Census on the characteristics of natives and recent immigrants (i.e. those who immigrated between 1975 and 1980) in the 24 cities of interest for this study. | [('...', ':'), ('data', 'NN'), ('from', 'IN'), ('the', 'DT'), ('1980', 'CD'), ('Census', 'NNP'), ('on', 'IN'), ('the', 'DT'), ('characteristics', 'NNS'), ('of', 'IN'), ('natives', 'NNS'), ('and', 'CC'), ('recent', 'JJ'), ('immigrants', 'NNS'), ('(', '('), ('i.e', 'NN'), ('.', '.'), ('those', 'DT'), ('who', 'WP'), ('immigrated', 'VBD'), ('between', 'IN'), ('1975', 'CD'), ('and', 'CC'), ('1980', 'CD'), (')', ')'), ('in', 'IN'), ('the', 'DT'), ('24', 'CD'), ('cities', 'NNS'), ('of', 'IN'), ('interest', 'NN'), ('for', 'IN'), ('this', 'DT'), ('study', 'NN'), ('.', '.')]
Dataset | Current Population Survey | …data from this source is classified by whether or not the respondent was living in the United States 5 years earlier. | [('…data', 'NN'), ('from', 'IN'), ('this', 'DT'), ('source', 'NN'), ('is', 'VBZ'), ('classified', 'VBN'), ('by', 'IN'), ('whether', 'IN'), ('or', 'CC'), ('not', 'RB'), ('the', 'DT'), ('respondent', 'NN'), ('was', 'VBD'), ('living', 'VBG'), ('in', 'IN'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS'), ('5', 'CD'), ('years', 'NNS'), ('earlier', 'RBR'), ('.', '.')]
Dataset | Current Population Survey | …the relevant sample contains individuals age 16 to 68 years old in 24 cities. | [('…the', 'NN'), ('relevant', 'JJ'), ('sample', 'NN'), ('contains', 'NNS'), ('individuals', 'NNS'), ('age', 'NN'), ('16', 'CD'), ('to', 'TO'), ('68', 'CD'), ('years', 'NNS'), ('old', 'JJ'), ('in', 'IN'), ('24', 'CD'), ('cities', 'NNS'), ('.', '.')]
Dataset | Census | …the relevant sample contains individuals age 16 to 68 years old in 24 cities. | [('…the', 'NN'), ('relevant', 'JJ'), ('sample', 'NN'), ('contains', 'NNS'), ('individuals', 'NNS'), ('age', 'NN'), ('16', 'CD'), ('to', 'TO'), ('68', 'CD'), ('years', 'NNS'), ('old', 'JJ'), ('in', 'IN'), ('24', 'CD'), ('cities', 'NNS'), ('.', '.')]
Dataset | Current Population Survey | …data from the merged files of the 12 monthly Current Population Survey administered in 1979, 1980, 1988 and 1989 used to examine wage outcomes in different cities during the past decade; wage data pertains to hourly wage rates or the ratio of average weekly earnings to average weekly hours for salaried workers. | [('…data', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('merged', 'VBN'), ('files', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('12', 'CD'), ('monthly', 'JJ'), ('Current', 'NNP'), ('Population', 'NNP'), ('Survey', 'NNP'), ('administered', 'VBD'), ('in', 'IN'), ('1979', 'CD'), (',', ','), ('1980', 'CD'), (',', ','), ('1988', 'CD'), ('and', 'CC'), ('1989', 'CD'), ('used', 'VBD'), ('to', 'TO'), ('examine', 'VB'), ('wage', 'NN'), ('outcomes', 'NNS'), ('in', 'IN'), ('different', 'JJ'), ('cities', 'NNS'), ('during', 'IN'), ('the', 'DT'), ('past', 'JJ'), ('decade', 'NN'), (';', ':'), ('wage', 'NN'), ('data', 'NNS'), ('pertains', 'NNS'), ('to', 'TO'), ('hourly', 'JJ'), ('wage', 'NN'), ('rates', 'NNS'), ('or', 'CC'), ('the', 'DT'), ('ratio', 'NN'), ('of', 'IN'), ('average', 'JJ'), ('weekly', 'JJ'), ('earnings', 'NNS'), ('to', 'TO'), ('average', 'VB'), ('weekly', 'JJ'), ('hours', 'NNS'), ('for', 'IN'), ('salaried', 'JJ'), ('workers', 'NNS'), ('.', '.')]
Dataset | Bureau of Labor Statistics | …source of cost-of-living indexes, which are available for most the cities in the sample of interest. | [('…source', 'NN'), ('of', 'IN'), ('cost-of-living', 'NN'), ('indexes', 'NNS'), (',', ','), ('which', 'WDT'), ('are', 'VBP'), ('available', 'JJ'), ('for', 'IN'), ('most', 'JJS'), ('the', 'DT'), ('cities', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('sample', 'NN'), ('of', 'IN'), ('interest', 'NN'), ('.', '.')]
Dataset | Census | ...using data from the United States Census Bureau and INEGI, the share of unskilled labor is set at 0.08 in the home market and 0.75 in the foreign market. | [('...', ':'), ('using', 'VBG'), ('data', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS'), ('Census', 'NNP'), ('Bureau', 'NNP'), ('and', 'CC'), ('INEGI', 'NNP'), (',', ','), ('the', 'DT'), ('share', 'NN'), ('of', 'IN'), ('unskilled', 'JJ'), ('labor', 'NN'), ('is', 'VBZ'), ('set', 'VBN'), ('at', 'IN'), ('0.08', 'CD'), ('in', 'IN'), ('the', 'DT'), ('home', 'NN'), ('market', 'NN'), ('and', 'CC'), ('0.75', 'CD'), ('in', 'IN'), ('the', 'DT'), ('foreign', 'JJ'), ('market', 'NN'), ('.', '.')]
Dataset | INEGI | ...using data from the United States Census Bureau and INEGI, the share of unskilled labor is set at 0.08 in the home market and 0.75 in the foreign market. | [('...', ':'), ('using', 'VBG'), ('data', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS'), ('Census', 'NNP'), ('Bureau', 'NNP'), ('and', 'CC'), ('INEGI', 'NNP'), (',', ','), ('the', 'DT'), ('share', 'NN'), ('of', 'IN'), ('unskilled', 'JJ'), ('labor', 'NN'), ('is', 'VBZ'), ('set', 'VBN'), ('at', 'IN'), ('0.08', 'CD'), ('in', 'IN'), ('the', 'DT'), ('home', 'NN'), ('market', 'NN'), ('and', 'CC'), ('0.75', 'CD'), ('in', 'IN'), ('the', 'DT'), ('foreign', 'JJ'), ('market', 'NN'), ('.', '.')]
Dataset | Current Population Survey | …the U.S. Census Bureau's Current Population Survey is the source for hours worked and hourly wages (in nominal dollars) for the U.S. skilled and unskilled workers. | [('…the', 'JJ'), ('U.S.', 'NNP'), ('Census', 'NNP'), ('Bureau', 'NNP'), ("'s", 'POS'), ('Current', 'NNP'), ('Population', 'NNP'), ('Survey', 'NNP'), ('is', 'VBZ'), ('the', 'DT'), ('source', 'NN'), ('for', 'IN'), ('hours', 'NNS'), ('worked', 'VBN'), ('and', 'CC'), ('hourly', 'JJ'), ('wages', 'NNS'), ('(', '('), ('in', 'IN'), ('nominal', 'JJ'), ('dollars', 'NNS'), (')', ')'), ('for', 'IN'), ('the', 'DT'), ('U.S.', 'NNP'), ('skilled', 'VBD'), ('and', 'CC'), ('unskilled', 'JJ'), ('workers', 'NNS'), ('.', '.')]
Dataset | Current Population Survey | …the data series are annualized, expressed in natural logs, and de-trended using a band-pass filter that removes fluctuations accruing in periods shorter than 4 and longer than 25. The model predictions receive a similar treatment. This approach is appropriate not only for the skill premium but also for border apprehensions, which present sizable short-term swings due to the random nature of border arrests. | [('…the', 'NN'), ('data', 'NNS'), ('series', 'NN'), ('are', 'VBP'), ('annualized', 'VBN'), (',', ','), ('expressed', 'VBN'), ('in', 'IN'), ('natural', 'JJ'), ('logs', 'NNS'), (',', ','), ('and', 'CC'), ('de-trended', 'JJ'), ('using', 'VBG'), ('a', 'DT'), ('band-pass', 'NN'), ('filter', 'NN'), ('that', 'WDT'), ('removes', 'VBZ'), ('fluctuations', 'NNS'), ('accruing', 'VBG'), ('in', 'IN'), ('periods', 'NNS'), ('shorter', 'JJR'), ('than', 'IN'), ('4', 'CD'), ('and', 'CC'), ('longer', 'JJR'), ('than', 'IN'), ('25', 'CD'), ('.', '.'), ('The', 'DT'), ('model', 'NN'), ('predictions', 'NNS'), ('receive', 'VBP'), ('a', 'DT'), ('similar', 'JJ'), ('treatment', 'NN'), ('.', '.'), ('This', 'DT'), ('approach', 'NN'), ('is', 'VBZ'), ('appropriate', 'JJ'), ('not', 'RB'), ('only', 'RB'), ('for', 'IN'), ('the', 'DT'), ('skill', 'NN'), ('premium', 'NN'), ('but', 'CC'), ('also', 'RB'), ('for', 'IN'), ('border', 'NN'), ('apprehensions', 'NNS'), (',', ','), ('which', 'WDT'), ('present', 'JJ'), ('sizable', 'JJ'), ('short-term', 'JJ'), ('swings', 'NNS'), ('due', 'JJ'), ('to', 'TO'), ('the', 'DT'), ('random', 'JJ'), ('nature', 'NN'), ('of', 'IN'), ('border', 'NN'), ('arrests', 'NNS'), ('.', '.')]
Dataset | Census | …the data is seasonally adjusted with the X-12 ARIMA method of the U.S. Census Bureau. | [('…the', 'NN'), ('data', 'NNS'), ('is', 'VBZ'), ('seasonally', 'RB'), ('adjusted', 'VBN'), ('with', 'IN'), ('the', 'DT'), ('X-12', 'JJ'), ('ARIMA', 'NNP'), ('method', 'NN'), ('of', 'IN'), ('the', 'DT'), ('U.S.', 'NNP'), ('Census', 'NNP'), ('Bureau', 'NNP'), ('.', '.')]
Dataset | Current Population Survey | …since the sample group in this survey rotates every month, the skill premium is noisy at the quarterly frequency. To address this problem, the Current Population Survey data used to analyze the cyclical dynamics of the skill premium is annualized, like in Polgreen and Silos (2009). | [('…since', 'NN'), ('the', 'DT'), ('sample', 'NN'), ('group', 'NN'), ('in', 'IN'), ('this', 'DT'), ('survey', 'NN'), ('rotates', 'VBZ'), ('every', 'DT'), ('month', 'NN'), (',', ','), ('the', 'DT'), ('skill', 'NN'), ('premium', 'NN'), ('is', 'VBZ'), ('noisy', 'VBN'), ('at', 'IN'), ('the', 'DT'), ('quarterly', 'JJ'), ('frequency', 'NN'), ('.', '.'), ('To', 'TO'), ('address', 'VB'), ('this', 'DT'), ('problem', 'NN'), (',', ','), ('the', 'DT'), ('Current', 'NNP'), ('Population', 'NNP'), ('Survey', 'NNP'), ('data', 'NNS'), ('used', 'VBD'), ('to', 'TO'), ('analyze', 'VB'), ('the', 'DT'), ('cyclical', 'JJ'), ('dynamics', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('skill', 'NN'), ('premium', 'NN'), ('is', 'VBZ'), ('annualized', 'VBN'), (',', ','), ('like', 'IN'), ('in', 'IN'), ('Polgreen', 'NNP'), ('and', 'CC'), ('Silos', 'NNP'), ('(', '('), ('2009', 'CD'), (')', ')'), ('.', '.')]
